date,description,event_type,disruption_type,deaths,total_injuries,cancellation,country,city_region,source_s,event_type_agg,disruption_type_agg
2004-01-25,Benfica vs Vitória match | player fatality (Miklós Fehér),Sports event,Medical emergency - Performer,1,0,0,Portugal,Guimarães,https://www.theguardian.com/football/2004/jan/26/newsstory.benfica,Sports event,Medical emergencies
2004-09-19,Mersin concert | bombing attack,Concert,Terrorist Attack,0,14,1,Turkey,Mersin,https://www.aljazeera.com/news/2004/9/19/many-hurt-in-turkish-concert-explosion?utm_source=chatgpt.com,Concert,Violence and security-related incidents
2004-09-30,Ferencvaros vs. Millwall (UEFA Cup) | violence incident,Sports event,Violence - non-terror,0,4,1,Hungary,Budapest,http://news.bbc.co.uk/2/hi/uk_news/3705586.stm,Sports event,Violence and security-related incidents
2004-10-27,Football match | player fatality,Sports event,Medical emergency - Performer,1,0,1,Brazil,São Paulo,https://www.idnes.cz/fotbal/zahranici/serginho-zemrel-kratce-po-zapase.A041028_105046_fot_zahranici_rou,Sports event,Medical emergencies
2004-12-05,Federation Cup finals | player fatality,Sports event,Medical emergency - Performer,1,1,0,India,Bangalore,http://news.bbc.co.uk/sport2/hi/football/4072103.stm,Sports event,Medical emergencies
2004-12-08,Damageplan concert | shooting fatalities | Columbus nightclub,Concert,Shooting,4,3,1,United States,Columbus,https://www.theguardian.com/world/2004/dec/10/arts.usa,Concert,Violence and security-related incidents
2004-12-30,Concert | fire | Republica Cromanon nightclub,Concert,Fire,175,714,1,Argentina,Buenos Aires,https://www.theguardian.com/world/2004/dec/31/argentina?utm_source=chatgpt.com,Concert,Environmental and external incidents
2005-06-24,Glastonbury festival | flooding disruption,Music festival,Weather-related Incident,0,0,1,United Kingdom,Glastonbury,https://www.theguardian.com/music/2005/jun/24/glastonbury2005.glastonbury3,Music festival,Environmental and external incidents
2005-07-30,CzechTek riot,Music festival,Violence - non-terror,1,82,1,Czech Republic,Mlýnec,https://ct24.ceskatelevize.cz/clanek/domaci/czechtek-2005-na-tachovsku-zasah-ktery-vyvolal-silnou-vlnu-kritiky-157322,Music festival,Violence and security-related incidents
2005-08-19,Frequency Festival | structural collapse injuries,Music festival,Structural or Physical Failure,0,31,0,Austria,Salzburg,https://sbgv1.orf.at/stories/66708,Music festival,Accidental and technical failures
2005-10-02,Sangju pop concert | stampede fatalities,Concert,Crowd-related Incident,11,60,1,South Korea,Sangju,https://www.abc.net.au/news/2005-10-04/11-killed-in-south-korea-concert-stampede/2116704,Concert,Crowd and behavioral incidents
2005-11-13,“Fear Factor” live stunt show | fatal accident,Show,Structural or Physical Failure,1,0,1,Thailand,Bangkok,https://iol.co.za/news/world/2005-11-14-thai-pop-star-dies-in-fear-factor-stunt/,Other live entertainment,Accidental and technical failures
2006-02-04,RBD concert | crowd crush fatalities,Concert,Crowd-related Incident,3,38,NA,Brazil,São Paulo,http://news.bbc.co.uk/2/hi/americas/4682206.stm,Concert,Crowd and behavioral incidents
2006-02-04,PhilSports Stadium event | stampede fatalities,Sports event,Crowd-related Incident,73,514,1,Philippines,Pasig,https://www.nbcnews.com/id/wbna11168010,Sports event,Crowd and behavioral incidents
2006-05-13,FC Basel vs FC Zurich footbal match | riot,Sports event,Violence - non-terror,0,100,0,Switzerland,Basel,https://www.swissinfo.ch/eng/demographics/football-hooliganism-is-still-alive-and-kicking/7005986,Sports event,Violence and security-related incidents
2006-07-17,Warped Tour | spectator death,Music festival,Medical emergency - Spectator,1,0,0,Canada,Toronto,https://www.cbc.ca/news/canada/toronto/woman-19-dies-after-being-found-near-warped-tour-stage-1.1297540,Music festival,Medical emergencies
2006-09-09,Hinckley United football match | player fatality (Matt Gadsby),Sports event,Medical emergency - Performer,1,0,1,United Kingdom,Harrogate,http://news.bbc.co.uk/sport2/hi/football/eng_conf/5331422.stm,Sports event,Medical emergencies
2007-02-24,"IFA Shield Final | riot, abandoned",Sports event,Violence - non-terror,0,7,1,India,Kolkata,https://www.telegraphindia.com/sports/mayhem-kicks-off-abandonment/cid/1228731,Sports event,Violence and security-related incidents
2007-03-29,Riot at Panathinaikos vs Olympiacos (Women’s Volleyball Cup match),Sports event,Violence - non-terror,1,0,1,Greece,Paiania,https://web.archive.org/web/20071227112631/http://tovima.dolnet.gr/print_article.php?e=B&f=15028&m=A08&aa=2,Sports event,Violence and security-related incidents
2007-06-04,Denmark-Sweden Euro tie abandoned,Sports event,Violence - non-terror,0,0,1,Denmark,Copenhagen,http://news.bbc.co.uk/sport2/hi/football/internationals/6715785.stm,Sports event,Violence and security-related incidents
2007-06-15,Heineken Jammin Festival | weather disruption,Music festival,Weather-related Incident,0,20,1,Italy,Venice,http://news.bbc.co.uk/2/hi/entertainment/6759955.stm,Music festival,Environmental and external incidents
2007-06-16,"Heineken Jammin Festival | weather disruption, partial",Music festival,Weather-related Incident,0,0,1,Italy,Venice,https://www.repubblica.it/spettacoli-e-cultura/2010/07/05/news/heineken_domenica-5398345/,Music festival,Environmental and external incidents
2007-08-25,Sevilla's first La Liga  football match | player fatality,Sports event,Medical emergency - Performer,1,0,NA,Spain,Sevilla,https://www.theguardian.com/football/2007/aug/28/europeanfootball.sevilla,Sports event,Medical emergencies
2007-09-28,Asiago Hockey Club ice hockey game | player fatality,Sports event,Medical emergency - Performer,1,0,1,Italy,Asiago,https://www.cbc.ca/news/canada/british-columbia/b-c-hockey-player-dies-during-pro-game-in-italy-1.639309,Sports event,Medical emergencies
2007-10-07,Chicago Marathon | heat-related death,Sports event,Weather-related Incident,1,49,0,United States,Chicago,https://abcnews.go.com/WN/story?id=3700733&page=1,Sports event,Environmental and external incidents
2007-10-20,Renegades Extreme Fighting | athlete collapse and seizure; later death (Sam Vasquez),Sports event,Medical emergency - Performer,1,0,1,United States,Houston,https://abc13.com/archive/5810892/,Sports event,Medical emergencies
2007-12-29,Motherwell vs Dundee United football match | player fatality (Phil O'Donnell),Sports event,Medical emergency - Performer,1,0,0,United Kingdom,Wishaw,https://www.theguardian.com/football/2007/dec/30/newsstory.sport2,Sports event,Medical emergencies
2008-06-13,Nova Rock festival | extreme winds,Music festival,Weather-related Incident,0,0,1,Austria,Nickelsdorf,https://www.oe24.at/leute/kultur/orkanartiger-wind-truebte-nova-rock-am-tag-1/323450?,Music festival,Environmental and external incidents
2008-07-05,Zoo8 Festival | disruption,Music festival,Logistical failure,0,0,1,United Kingdom,Kent,https://www.theguardian.com/music/musicblog/2008/jul/10/zoobadforwordswhenfestiva,Music festival,Accidental and technical failures
2008-07-12,Monsters of Rock festival | weather suspension,Music festival,Weather-related Incident,0,1,1,Spain,Zaragoza,"https://www.heraldo.es/noticias/ocio-cultura/2008/07/11/una-fuerte-tormenta-obliga-suspender-monsters-rock-18052-1361024.html
https://www.publico.es/actualidad/suspenden-festival-monsters-of-rock-zaragoza-tromba-agua-viento.html",Music festival,Environmental and external incidents
2008-07-16,USBA welterweight championship (box) | athlete collapse,Sports event,Medical emergency - Performer,0,1,1,United States,San Antonio,https://www.espn.co.uk/boxing/story/_/id/12394655/oscar-diaz-badly-injured-fight-nearly-7-years-ago-dead-32,Sports event,Medical emergencies
2008-08-04,World Supersport race | rider fatality (Craig Jones),Race,Accidental incident (non-structural),1,NA,NA,United Kingdom,West Kingsdown,https://www.roadracingworld.com/news/more-from-the-world-superbike-supersport-event-at-brands-hatch/?utm_source=chatgpt.com,Race,Accidental and technical failures
2009-01-01,Burn band concert | fire | Santika Club,Concert,Fire,67,NA,1,Thailand,Bangkok,"https://www.bbc.com/news/world-asia-pacific-14988134#:~:text=Two%20people%20have%20been%20jailed,zone%20where%20nightclubs%20were%20banned.",Concert,Environmental and external incidents
2009-01-16,Monster Jam show | spectator fatality,Show,Accidental incident (non-structural),1,1,1,United States,Tacoma,https://www.cbsnews.com/news/boy-killed-by-debris-at-monster-truck-show/,Other live entertainment,Accidental and technical failures
2009-01-25,Motor Sports Monster Truck & Thrill Show | promoter fatality,Show,Accidental incident (non-structural),1,0,1,United States,Madison,https://www.nbcwashington.com/local/natl-promoter-dies-after-accident-at-monster-truck-show/2093689/,Other live entertainment,Accidental and technical failures
2009-04-26,"NASCAR Cup race | crash injuries, stopped",Race,Accidental incident (non-structural),0,7,1,United States,Talladega,https://www.espn.com/racing/nascar/cup/news/story?id=4103113,Race,Accidental and technical failures
2009-06-14,NASCAR event | driver fatality,Race,Accidental incident (non-structural),1,0,1,Mexico,Puebla,http://jornada.com.mx/2009/06/15/deportes/a02n1dep,Race,Accidental and technical failures
2009-08-01,Big Valley Jamboree | stage collapse fatality,Music festival,Weather-related Incident,1,55,1,Canada,Camrose,https://www.cbsnews.com/news/1-dead-40-hurt-in-canada-stage-collapse/,Music festival,Environmental and external incidents
2009-08-22,Sunset Grooves festival | fatal stabbing,Music festival,Violence - non-terror,1,6,1,Netherlands,Hook of Holland,https://www.dutchnews.nl/2009/09/beach_party_youth_was_killed_b/,Music festival,Violence and security-related incidents
2009-10-19,Detroit Marathon | participant deaths,Sports event,Medical emergency - Spectator,3,0,0,United States,Detroit,https://www.cbc.ca/sports/3-runners-die-at-detroit-marathon-1.802488,Sports event,Medical emergencies
2009-11-20,USBA super bantamweight bout (box) | athlete collapse; later death,Sports event,Medical emergency - Performer,1,0,1,United States,Philadelphia,https://abc7chicago.com/archive/7134199/,Sports event,Medical emergencies
2010-02-16,Alexisonfire concert | crowd surge injuries,Concert,Crowd-related Incident,0,28,1,Canada,Vancouver,https://www.cbc.ca/news/canada/british-columbia/crowd-surge-injures-19-at-vancouver-concert-1.924966,Concert,Crowd and behavioral incidents
2010-03-24,Czech hockey league postponed after a fan in the audience died,Sports event,Medical emergency - Spectator,1,0,1,Czech Republic,Prague,https://english.radio.cz/play-game-postponed-after-fan-death-8400267,Sports event,Medical emergencies
2010-04-17,Commonwealth Game cricket match | bombing attack | Bangalore stadium,Sports event,Terrorist Attack,0,10,0,India,Bangalore,https://www.reuters.com/article/india-explosion/refile-update-3-ten-wounded-in-india-cricket-stadium-blast-idUKSGE63G02U20100417/?utm_source=chatgpt.com,Sports event,Violence and security-related incidents
2010-04-26,"Justin Bieber concert | crowd surge, cancelled",Concert,Crowd-related Incident,0,32,1,Australia,Sydney,https://www.theglobeandmail.com/arts/music/justin-bieber-concert-cancelled-after-fan-stampede-sends-eight-girls-to-hospital/article1367133/,Concert,Crowd and behavioral incidents
2010-06-25,Electric Daisy Carnival festival | crowd incident and death,Music festival,Crowd-related Incident,1,200,0,United States,Los Angeles,https://www.insideedition.com/857-electric-daisy-carnival-stampede-sends-114-to-hospital,Music festival,Crowd and behavioral incidents
2010-06-26,Dash Entertainment / King MMA | athlete collapse; later death (Michael Kirkham),Sports event,Medical emergency - Performer,1,0,1,United States,Fayetteville,https://www.sherdog.com/news/news/Fighter-Dies-in-South-Carolina-After-First-Pro-Bout-25374,Sports event,Medical emergencies
2010-07-24,Love Parade | crowd crush disaster,Music festival,Crowd-related Incident,21,652,0,Germany,Duisburg,https://www.bbc.com/news/world-europe-52527515,Music festival,Crowd and behavioral incidents
2010-07-30,Algarve Cup: Benfica vs. Feyenoord structure collapse,Sports event,Structural or Physical Failure,0,7,0,Portugal,Algarve,https://srzd.com/blog/geral/arquibancada-desaba-e-sete-ficam-feridos-em-amistoso-em-portugal/,Sports event,Accidental and technical failures
2010-08-02,Warped Tour Festival | spectator death,Music festival,Medical emergency - Spectator,1,0,0,United States,Bonner Springs,https://www.nytimes.com/2010/08/05/arts/music/05arts-MANDIESATKAN_BRF.html,Music festival,Medical emergencies
2010-08-08,Sonisphere Finland storm,Music festival,Weather-related Incident,1,40,1,Finland,Pori,https://yle.fi/a/3-5613274,Music festival,Environmental and external incidents
2010-08-20,Pukkelpop festival | performer fatalities,Music festival,Medical emergency - Performer,2,1,0,Belgium,Hasselt,"https://www.theguardian.com/music/2010/aug/21/charles-haddon-belgium-pukkelpop-dead
https://www.latimes.com/local/obituaries/la-me-michael-been-20100823-story.html",Music festival,Medical emergencies
2010-09-05,San Marino GP Moto2 | rider fatality (Shoya Tomizawa),Race,Accidental incident (non-structural),1,0,0,Italy,Misano Adriatico,https://www.cbsnews.com/news/japanese-motorcyclist-killed-at-race-in-italy/,Race,Accidental and technical failures
2010-12-12,"NFL game | roof collapse, cancelled",Sports event,Weather-related Incident,0,0,1,United States,Minneapolis,https://abcnews.go.com/US/metrodome-collapses-nfl-reschedules-vikings-giants-game/story?id=12380677,Sports event,Environmental and external incidents
2011-05-06,Football Czech Cup abandoned,Sports event,Violence - non-terror,0,0,1,Czech Republic,Olomouc,https://www.foxsports.com.au/football/rioting-soccer-hooligans-force-abandonment-of-czech-cup-match-between-slavia-prague-sigma-olomouc/news-story/1fa346f0d0913fd8214d9199168de2ca,Sports event,Violence and security-related incidents
2011-05-09,Giro dItalia stage | rider fatality,Sports event,Accidental incident (non-structural),1,0,1,Belgium,Rapallo,https://www.theguardian.com/sport/2011/may/09/wouter-weylandt-giro-ditalia,Sports event,Accidental and technical failures
2011-05-22,"Rapid Wien vs Austria Wien derby | pitch invasion, abandoned",Sports event,Violence - non-terror,0,0,1,Austria,Vienna,"https://www.reuters.com/article/soccer-europe-austria/update-1-soccer-austrian-derby-abandoned-after-pitch-invasion-idUKLDE74L0J020110522/#:~:text=Summary,upset%2C%20shocked%20and%20sad.%22",Sports event,Violence and security-related incidents
2011-07-03,Roskilde Festival,Music festival,Accidental incident (non-structural),1,1,0,Denmark,Roskilde,"https://www.theguardian.com/music/2011/jul/04/woman-dies-roskilde-festival
https://www.cnbc.com/2011/03/24/The-Worldss-Biggest-Music-Festivals.html",Music festival,Accidental and technical failures
2011-07-09,Oxegen festival | violent dispute,Music festival,Violence - non-terror,0,5,0,Ireland,County Kildare,https://www.bbc.com/news/uk-northern-ireland-14092563,Music festival,Violence and security-related incidents
2011-07-17,Bluesfest festival | weather disruption,Music festival,Weather-related Incident,0,4,1,Canada,Ottawa,https://www.cbc.ca/news/canada/ottawa/transit-union-confederation-workers-1.6096665,Music festival,Environmental and external incidents
2011-07-18,All Good Music Festival | attendee death,Music festival,Accidental incident (non-structural),1,2,NA,United States,Masontown,https://www.live5news.com/story/15097097/mt-pleasant-woman-reportedly-killed-in-tragic-accident/,Music festival,Accidental and technical failures
2011-07-22,Moldejazz festival | cancellation after terrorist attack in Eastern Norway,Music festival,Threat or evacuation (no violence),0,0,1,Norway,Molde,https://www.rbnett.no/nyheter/n/Wq3bGK/moldejazz-avlyser-ikke-likevel,Music festival,Crowd and behavioral incidents
2011-08-13,Indiana State Fair concert | stage collapse fatalities,Concert,Weather-related Incident,7,58,1,United States,Indianapolis,https://www.cbsnews.com/pictures/indiana-fair-stage-collapse/,Concert,Environmental and external incidents
2011-08-18,"Pukkelpop festival | severe storm, cancelled",Music festival,Weather-related Incident,5,140,1,Belgium,Hasselt,https://www.bbc.com/news/world-europe-14586001,Music festival,Environmental and external incidents
2011-09-16,Reno Air Race | airplane crash with fatalities,Show,Accidental incident (non-structural),11,70,1,United States,Reno,https://www.slackdavis.com/notable-cases/reno-air-race-disaster/,Other live entertainment,Accidental and technical failures
2011-10-02,GC Zürich vs FC Zürich football derby | riot,Sports event,Violence - non-terror,0,6,1,Switzerland,Zurich,https://www.srf.ch/sport/fussball/super-league/zuvor-6-sieglose-derbys-3-0-ueber-den-fcz-entfesselte-hoppers-stuermen-zum-derbysieg,Sports event,Violence and security-related incidents
2011-10-16,IndyCar race | multi car crash fatality (Dan Wheldon),Race,Accidental incident (non-structural),1,3,1,United States,Las Vegas,https://www.espn.com/racing/indycar/story/_/id/7111712/dan-wheldon-dies-following-indycar-crash-vegas,Race,Accidental and technical failures
2011-11-13,Belgian second division match | athlete fatality (Bobsam Elejiko),Sports event,Medical emergency - Performer,1,0,1,Belgium,Merksem,https://www.foxsports.com/stories/soccer/player-dies-during-fifth-tier-belgian-game,Sports event,Medical emergencies
2012-03-02,Avicii concert | platform collapse injuries,Concert,Structural or Physical Failure,0,20,1,Sweden,Stockholm,https://www.claimsjournal.com/news/international/2012/03/05/202331.htm,Concert,Accidental and technical failures
2012-03-18,"Panathinaikos vs Olympiacos (Football derby, Super League)",Sports event,Violence - non-terror,0,4,1,Greece,Athens,https://www.zougla.gr/sports/pana8inaikos-olimpiakos-live/,Sports event,Violence and security-related incidents
2012-03-21,Bangalore Mars football match | athlete fatality (D Venkatesh),Sports event,Medical emergency - Performer,1,0,NA,India,Bangalore,https://www.sandiegouniontribune.com/2012/03/22/indian-player-dies-after-collapsing-on-field/,Sports event,Medical emergencies
2012-04-14,Pescara vs. Livorno | player fatality,Sports event,Medical emergency - Performer,1,0,1,Italy,Pescara,https://www.theguardian.com/football/2012/apr/15/piermario-morosini-italy-mourns,Sports event,Medical emergencies
2012-05-31,Dozens injured at Oslo Bieber show,Concert,Crowd-related Incident,0,63,0,Norway,Oslo,https://www.thelocal.no/20120531/dozens-injured-at-oslo-bieber-show,Concert,Crowd and behavioral incidents
2012-06-10,Electric Daisy Carnival  festival | wind storm shutdown,Music festival,Weather-related Incident,0,0,1,United States,Las Vegas,https://www.rollingstone.com/music/music-news/high-winds-shut-down-electric-daisy-carnival-87281/,Music festival,Environmental and external incidents
2012-06-16,Radiohead concert | stage collapse fatality,Concert,Structural or Physical Failure,1,3,1,Canada,Toronto,https://www.theguardian.com/music/2012/jun/16/radiohead-stage-collapses-toronto,Concert,Accidental and technical failures
2012-07-01,With Full Force Festival | lightning injuries,Music festival,Weather-related Incident,0,51,1,Germany,Saxony,https://www.spiegel.de/panorama/blitz-verletzt-51-menschen-auf-with-full-force-festival-a-842074.html,Music festival,Environmental and external incidents
2012-07-06,Bloc Weekend festival | shut down mid event,Music festival,Logistical failure,0,0,1,United Kingdom,London,https://www.itv.com/news/london/2012-07-09/festival-fiasco-disappointment-for-music-fans-at-wireless-and-bloc,Music festival,Accidental and technical failures
2012-07-07,Swedish House Mafia concert | stabbing attack | Phoenix Park,Concert,Violence - non-terror,1,9,1,Ireland,Dublin,https://www.bbc.com/news/world-europe-18772326,Concert,Violence and security-related incidents
2012-07-15,Warped Tour Festival | spectator death,Music festival,Medical emergency - Spectator,1,0,0,Canada,Toronto,https://www.cbc.ca/news/canada/toronto/woman-19-dies-after-being-found-near-warped-tour-stage-1.1297540,Music festival,Medical emergencies
2012-07-26,Identity Festival | drug-related fatalities,Music festival,Drug-related Incident,2,19,0,United States,Mansfield,https://www.cbsnews.com/boston/news/two-dead-45-arrested-at-identity-festival-in-mansfield/,Music festival,Crowd and behavioral incidents
2012-08-05,Wacken Open Air | carbon monoxide poisoning fatality,Music festival,Accidental incident (non-structural),1,0,0,Germany,Wacken,https://www.spiegel.de/panorama/wacken-open-air-mann-stirbt-tragischen-unfalltod-a-848366.html,Music festival,Accidental and technical failures
2012-08-05,Lollapalooza festival | storm evacuation,Music festival,Weather-related Incident,0,0,1,United States,Chicago,https://www.nbcnews.com/id/wbna48512398,Music festival,Environmental and external incidents
2012-08-26,Football match | player fatality (Victor Brännström),Sports event,Medical emergency - Performer,1,0,1,Sweden,Piteå,https://www.foxsports.com/stories/soccer/swedish-soccer-player-dies-after-match,Sports event,Medical emergencies
2012-10-31,Thriller Music party | crowd crush fatalities | Madrid Arena,Concert,Crowd-related Incident,5,29,1,Spain,Madrid,"https://www.20minutos.es/madrid/madrid-arena-cronologia-investigacion-sobre-una-fiesta-halloween-que-acabo-tragedia_1084800_0.html
https://www.telecinco.es/noticias/sociedad/20231101/madrid-arena-aniversario-tragedia-fiesta-halloween-sobreaforo-4gend4_18_010854210.html",Concert,Crowd and behavioral incidents
2012-12-04,Lamb of God concert | spectator fatality,Concert,Accidental incident (non-structural),1,0,0,Czech Republic,Prague,https://www.reuters.com/article/lifestyle/czech-court-acquits-us-heavy-metal-singer-over-fan-death-idUSDEE92408I/?utm_source=chatgpt.com,Concert,Accidental and technical failures
2012-12-16,Five injured in accident at Prague theatre,Theater play,Accidental incident (non-structural),0,5,1,Czech Republic,Prague,https://english.radio.cz/five-injured-accident-prague-theatre-8331626,Other live entertainment,Accidental and technical failures
2013-02-23,NASCAR race | crash into stands,Race,Accidental incident (non-structural),0,28,1,United States,Daytona,https://www.cbsnews.com/sacramento/news/elk-grove-driver-kyle-larson-crashes-fans-injured-at-daytona/,Race,Accidental and technical failures
2013-03-28,Michael Norgrove vs Tom Bowen (box) | athlete collapse; later death,Sports event,Medical emergency - Performer,1,0,1,United Kingdom,London,https://www.theguardian.com/sport/2013/apr/06/boxer-michael-norgrove-dies,Sports event,Medical emergencies
2013-04-15,Boston Marathon | bombing attack,Sports event,Terrorist Attack,3,281,1,United States,Boston,https://web.archive.org/web/20190331141156/https://www.bostonglobe.com/lifestyle/health-wellness/2013/04/23/number-injured-marathon-bombing-revised-downward/NRpaz5mmvGquP7KMA6XsIK/story.html,Sports event,Violence and security-related incidents
2013-06-30,Gran Turismo Polonia | vehicle crash into crowd,Show,Accidental incident (non-structural),0,19,1,Poland,Poznan,https://www.belfasttelegraph.co.uk/news/world-news/video-koenigsegg-supercar-loses-control-and-crashes-into-crowd-at-gran-turismo-polonia-motor-rally-in-poland/29385261.html,Other live entertainment,Accidental and technical failures
2013-09-01,Electric Zoo festival | drug-related deaths,Music festival,Drug-related Incident,2,4,1,United States,New York,https://edition.cnn.com/2013/09/01/us/new-york-music-festival-canceled,Music festival,Crowd and behavioral incidents
2013-09-02,Electric Picnic festival | spectator death,Music festival,Medical emergency - Spectator,1,0,0,Ireland,Dublin,https://www.irishtimes.com/news/ireland/irish-news/electric-picnic-fan-death-described-as-a-tragedy-by-transplant-association-1.1512624,Music festival,Medical emergencies
2013-10-05,Extreme Airshow | monster truck crash into crowd,Show,Accidental incident (non-structural),8,78,1,Mexico,Chihuahua,https://www.abc.net.au/news/2013-10-07/monster-truck-kills-6-injures-47-in-mexico-stunt-show/5001904,Other live entertainment,Accidental and technical failures
2013-10-06,IndyCar race | crash injuries,Race,Accidental incident (non-structural),0,13,0,United States,Houston,https://edition.cnn.com/2013/10/06/us/texas-indycar-crash,Race,Accidental and technical failures
2013-10-19,Francisco “Frankie” Leal vs Raúl Hirales (box) | athlete collapse; later death,Sports event,Medical emergency - Performer,1,0,1,Mexico,Cabo San Lucas,https://www.espn.com/boxing/story/_/id/9865181/mexican-fighter-francisco-frankie-leal-dies-three-days-ko,Sports event,Medical emergencies
2014-02-01,WBC Latino Silver (box) | athlete collapse; later death,Sports event,Medical emergency - Performer,1,0,1,Mexico,Mexico City,https://www.espn.com/boxing/story/_/id/10400497/mexican-featherweight-oscar-gonzalez-dies-two-days-knockout,Sports event,Medical emergencies
2014-03-10,Columbus Blue Jackets at Dallas Stars | athlete collapse; game abandoned,Sports event,Medical emergency - Performer,0,0,1,United States,Dallas,https://www.cbsnews.com/texas/news/stars-game-halted-after-player-rich-peverley-collapses/,Sports event,Medical emergencies
2014-03-13,SXSW festival | vehicle crash into crowd,Music festival,Accidental incident (non-structural),4,19,0,United States,Austin,https://www.bbc.com/news/newsbeat-26556839,Music festival,Accidental and technical failures
